drawing_id,drawing_number,drawing_name
4655,B-5347-1-203,BEARING BLOCK
4656,B-12197-9-1,BEARING BLOCK
4657,A-11517-1-9,BEARING BLOCK
4658,A-11617-41-15,BEARING BLOCK
4659,A-11617-41-2,BEARING BLOCK
4660,B-11317-21-2,BEARING BLOCK
4661,B-11617-40-2,BEARING BLOCK
4662,B-11617-41-11,BEARING BLOCK
4663,A-5250-2-9,BEARING BLOCK
4664,A-5250-4-8,BEARING BLOCK
4665,A-5250-6-9,BEARING BLOCK
4666,A-5250-7-33,BEARING BLOCK
4667,A-5250-9-5,BEARING BLOCK
4668,B-5250-10-08,BEARING BLOCK
4669,B-5250-10-09,BEARING BLOCK
4670,B-5250-6-13,BEARING BLOCK
4671,B-5250-7-8,BEARING BLOCK
4672,B-9199-3-3-14,BEARING BLOCK
4673,B-BF13-39-67,BEARING BLOCK
4674,B-5358-89-10,BEARING BLOCK
4675,B-5358-90-25,BEARING BLOCK
4676,B-6502-4-11,BEARING BLOCK
4677,B-5325-08-67,BEARING BLOCK
4678,B-5328-08-67,BEARING BLOCK
4679,B-3584-11,BEARING BLOCK (.5 & 1 LITER TEST TANK)
4680,B-5358-89-11,BEARING BLOCK (MIDDLE)
4681,B-5358-89-08,BEARING BLOCK (RIGHT SIDE)
4682,B-5358-91-13,BEARING BLOCK (VERTICAL LOCK)
4683,A-5250-2-10,BEARING BLOCK MOUNTING PLATE
4684,A-5250-4-7,BEARING BLOCK MOUNTING PLATE
4685,H-12197-6-1,BEARING BLOCK PLATE
4686,B-5347-11-226,BEARING BLOCK SCREW
4687,B-5358-16-4,BEARING BLOCK SUPPORT
4688,A-5250-8-6,BEARING BLOCK SUPPORT
4689,E-5250-8-5,BEARING BLOCK SUPPORT
4690,E-5250-9-4,BEARING BLOCK SUPPORT
4691,E-8298-6-12,BEARING BLOCK TO FRAME MNTNG BRKT
4692,E-10298-6-12,BEARING BLOCK TO FRAME MNTNG BRKTS
4693,B-BF13-39-68,BEARING BLOCK TUNING SPACER
4694,B-5325-08-68,BEARING BLOCK TUNING SPACER
4695,B-5328-08-68,BEARING BLOCK TUNING SPACER
4696,B-5088-300-25,"BEARING BLOCK, ACTUATOR SHAFT"
4697,E-9117-15-4-8 (9117-15-04-08),BEARING BRACKET
4698,E-9217-15-4-8 (9217-15-04-08),BEARING BRACKET
4699,K-MD-5347-2-5,BEARING BRACKET
4700,B-5347-18-108,BEARING BRIDGE SUPPORT PLATE
4701,B-8499-3-3-15,BEARING BRONZE FLANGED SLEEVE
4702,B-5052-6-35,BEARING CA
4703,B-5358-16-26,BEARING CAP
4704,B-3112-6-16,BEARING CAP
4705,B-9104-16,BEARING CAP
4706,A-11517-2-32-2,BEARING CAP
4707,B-9317-5-10-12,BEARING CAPTURE BLOCK
4708,B-9417-5-10-12,BEARING CAPTURE BLOCK
4709,H-4198-1-19,"BEARING CARRIER 1 12 CONVEYOR"""
4710,H-5198-1-19,"BEARING CARRIER 1 12 CONVEYOR"""
4711,H-4198-2-12,"BEARING CARRIER 1 3 CONVEYOR"""
4712,H-5198-2-12,"BEARING CARRIER 1 3 CONVEYOR"""
4713,H-4198-1-20,"BEARING CARRIER 2 12 CONVEYOR"""
4714,H-5198-1-20,"BEARING CARRIER 2 12 CONVEYOR"""
4715,H-4198-2-13,"BEARING CARRIER 2 3 CONVEYOR"""
4716,H-5198-2-13,"BEARING CARRIER 2-3 CONVEYOR"""
4717,B-1-15816,BEARING CASE
4718,B-2-15816,BEARING CASE
4719,B-15816,BEARING CASE
4720,E-5286-6-228,BEARING CLAMP PLATE
4721,B-5143-8-8,BEARING COVER PLATE
4722,B-5126-2-3-8,BEARING COVER PLATE
4723,B-5088-326-1,BEARING CYLINDER FILL PORT FEEDER BAGMAKER#3 AP-5&6 STA2
4724,B-SK-1018-2,BEARING FLANGE
4725,B-5206-2-150,BEARING FLANGE  PRINTER
4726,E-2-15563,BEARING HOUSE
4727,B-21570,BEARING HOUSE
4728,H-1394-12-11,BEARING HOUSE
4729,E-2-15560,BEARING HOUSE (FIXED)
4730,E-2-15558,BEARING HOUSE ADJ.
4731,B-5088-201-9,BEARING HOUSING
4732,B-2-18788,BEARING HOUSING
4733,E-5347-15-10,BEARING HOUSING
4734,B-5212-7-1,BEARING HOUSING
4735,A-11517-2-32-1,BEARING HOUSING
4736,B-5105-1,BEARING HOUSING
4737,H-5286-15-46,BEARING HOUSING
4738,E-5286-8-3,BEARING HOUSING ASSEMBLY
4739,H-MD-5109-6-6,BEARING HOUSING PRESSURE VESSEL REAR
4740,B-18788,BEARING HOUSING STAT.#1
4741,E-5347-15-13,BEARING HOUSING SUPPORT
4742,K-MD-5109-4-5,BEARING HOUSING TAKE-UP FRONT END FRAME
4743,H-MD-5109-6-10,BEARING HOUSING TAKE-UP UNIT
4744,H-3490-4B-1-2,BEARING HOUSING W/EXT. FOR SHORT CONVEYOR. COLPITT STATION 1
4745,E-MD-5109-6-7,BEARING INSERT PRESSURE VESSEL REAR
4746,A-MD-5109-6-44,BEARING INSERT RETAININ SCREW TAKE-UP
4747,A-MD-5109-6-43,BEARING INSERT RETAINING SCREW
4748,B-5358-16-20,BEARING MODIFICATION
4749,B-BF13-39-27,BEARING MOUNT
4750,E-9117-11-1-1-1 (9117-11-03-01),BEARING MOUNT
4751,E-9117-5-1-7 (9117-04-01-07),BEARING MOUNT
4752,E-9117-6-1-1 (9117-05-01-01),BEARING MOUNT
4753,E-9217-11-1-1-1 (9217-11-03-01),BEARING MOUNT
4754,E-9217-5-1-7 (9217-04-01-07),BEARING MOUNT
4755,E-9217-6-1-1 (9217-05-01-01),BEARING MOUNT
4756,A-11517-2-2,BEARING MOUNT
4757,A-11517-2-3,BEARING MOUNT
4758,B-5325-08-27,BEARING MOUNT
4759,B-5328-08-27,BEARING MOUNT
4760,B-5286-4-1-62,BEARING MOUNT SPACER
4761,E-3490-6-60-1,BEARING MOUNTING BAR
4762,B-5347-11-217,BEARING MOUNTING BLOCK-LOWER
4763,B-SK-1018-4,BEARING MOUNTING BRACKET
4764,B-PE-10112-1-4,BEARING MOUNTING PLATE
4765,B-5143-8-7,BEARING MOUNTING PLATE
4766,B-5126-2-3-7,BEARING MOUNTING PLATE
4767,B-5347-11-205,BEARING MOUNTING SLIDE
4768,B-5088-235-7,BEARING PLATE
4769,K-5088-236-16,BEARING PLATE
4770,K-8499-4-2,BEARING PLATE
4771,K-9199-4-2,BEARING PLATE
4772,K-7199-4-2,BEARING PLATE
4773,K-3199-4-2,BEARING PLATE
4774,K-MD-5358-2-4,BEARING PLATE
4775,B-3490-53-2-26,BEARING PLATE
4776,B-6193-53-2-26,BEARING PLATE
4777,B-1394-53-2-26,BEARING PLATE
4778,H-5337-16-47,BEARING PLATE
4779,B-5347-15-21,BEARING PLATE
4780,K-9298-11-2,BEARING PLATE  (E-VIEW ONLY)
4781,H-5358-3-1,BEARING PLATE SECOND INDEX
4782,K-MD-5358-4-1,BEARING PLATE THIRD INDEX
4783,H-5358-7-2,BEARING PLATE-FRONT
4784,E-5358-7-34,BEARING PLATEN-BRAKE
4785,H-5358-7-3,BEARING PLATE-REAR
4786,E-9117-9-8-6 (9117-08-08-06),BEARING POST
4787,E-9217-9-8-6 (9217-08-08-06),BEARING POST
4788,B-5293-1-1-1-7-8,BEARING QUALITY SHAFT - BACK
4789,B-5293-1-1-1-7-4,BEARING QUALITY SHAFT - FRONT
4790,B-5293-1-1-1-7-5,BEARING QUALITY SHAFT - LONG
4791,B-5088-326-3,BEARING RERTAINER PLATE FILL PORT FEEDER BAGMKR#3 AP-5&6STA2
4792,B-6193-16-65-5,BEARING RETAINER
4793,B-6193-6-29,BEARING RETAINER
4794,B-5337-5-19,BEARING RETAINER
4795,B-9317-5-10-8,BEARING RETAINER
4796,B-9317-5-80-16,BEARING RETAINER
4797,B-9317-8-20-2-9,BEARING RETAINER
4798,B-9417-5-10-8,BEARING RETAINER
4799,B-9417-5-80-16,BEARING RETAINER
4800,B-9417-8-20-2-9,BEARING RETAINER
4801,B-6193-16-65-7,"BEARING RETAINER (USED ON AC250100, ACS50200, & ACS50300)"
4802,B-5112-1-09,BEARING RETAINER PLATE
4803,B-9317-5-10-7,BEARING RETAINER PLATE
4804,B-9417-5-10-7,BEARING RETAINER PLATE
4805,B-5284-10-75,BEARING RETAINER PLATE FILL PORT FEEDER
4806,B-5358-60-9,BEARING RETAINER SEALING HEAD ASSEMBLY
4807,H-MD-5109-3-9,BEARING RETAINER-WATERLOC
4808,H-MD-5109-3-10,BEARING RETAINER-WATERLOC (R.H.)
4809,B-5347-7-9,BEARING RETAINING RING IDLER SPROCKET HUB
4810,A-2-18790,BEARING RING
4811,A-18790,BEARING RING
4812,B-5363-1-18,BEARING SHAFT
4813,B-9317-1-1-10-30,BEARING SHIM
4814,B-9417-1-1-10-30,BEARING SHIM
4815,B-5347-16-11,BEARING SHOE
4816,H-9117-12-3-6 (9117-12-03-06),BEARING SLEEVE
4817,H-9217-12-3-6 (9217-12-03-06),BEARING SLEEVE
4818,K-6193-9-43,BEARING SLEEVE STA #4
4819,B-5288-3-5,BEARING SPACER
4820,B-5358-91-14,BEARING SPACER
4821,E-MD-5109-3-11,BEARING SPACER-WATERLOC
4822,B-11517-2-1,BEARING SPRT
4823,E-1-15809,BEARING STRIP
4824,E-2-15809,BEARING STRIP
4825,E-15809,BEARING STRIP
4826,B-9398-14,BEARING SUPPORT
4827,E-9398-15,BEARING SUPPORT
4828,B-6198-14,BEARING SUPPORT
4829,E-6198-15,BEARING SUPPORT
4830,A-1-16981,BEARING SUPPORT
4831,B-1-15812,BEARING SUPPORT
4832,B-3490-53-2-25,BEARING SUPPORT
4833,A-2-14647,BEARING SUPPORT
4834,A-2-14648,BEARING SUPPORT
4835,B-2-15812,BEARING SUPPORT
4836,B-2-18789,BEARING SUPPORT
4837,B-6193-53-2-25,BEARING SUPPORT
4838,A-14647,BEARING SUPPORT
4839,A-14648,BEARING SUPPORT
4840,A-16981,BEARING SUPPORT
4841,B-15812,BEARING SUPPORT
4842,B-1394-53-2-25,BEARING SUPPORT
4843,B-4198-1-1-15,BEARING SUPPORT
4844,B-4198-3-14,BEARING SUPPORT
4845,B-4198-4-9,BEARING SUPPORT
4846,B-5198-1-1-15,BEARING SUPPORT
4847,B-5198-3-14,BEARING SUPPORT
4848,B-5198-4-9,BEARING SUPPORT
4849,A-091200-030-20A-008,BEARING SUPPORT
4850,B-9214-9,BEARING SUPPORT
4851,B-5376-1-9,BEARING SUPPORT
4852,B-5399-1-6,BEARING SUPPORT
4853,A-5088-23-77,BEARING SUPPORT (POWER CRANK)
4854,B-8499-4-1-5,BEARING SUPPORT BAR
4855,A-2-16981-X,BEARING SUPPORT CHART 1-2
4856,K-6602-14,BEARING SUPPORT L&R
4857,K-6702-10,BEARING SUPPORT L&R
4858,B-18789,BEARING SUPPORT STAT.#1
4859,B-5347-11-116,BEARING THRUST VACUUM ARM
4860,B-10298-1-4-2,BEARING TO CROSS MEMBER SPACER PLATE
4861,B-12197-4-35,BEARING TOP COVER PLATE
4862,B-5358-1-162,BEARING TRACK
4863,B-5272-18-13,BEARING TUNNEL WASHER
4864,B-9199-3-3-15,"BEARING, BRONZE FLANGE SLEEVE"
4865,B-5088-326-2,BEARINR PLATE FILL PORT FEEDER BAGMAKER#3 AP-5&6 STA2
4866,E-20136,BEDIENINGSKAST STAT.1
4867,B-5143-4-20,"BELLOWS CLAMP RING T.P.O. FILLER, P.F."
4868,E-5102-4-12,"BELLOWS LOWER PLATE T.P.O. FILLER, P.F. & 1 LTR"
4869,B-5143-4-19,"BELLOWS REST RING T.P.O. FILLER, P.F."
4870,E-5102-4-18,BELLOWS SLEVE T.P.O. FILLER P.F. & 1 LITER
4871,B-5102-4-23,"BELLOWS T.P.O. FILLER, P.F. & 1 LTR."
4872,E-5102-4-2,"BELLOWS UPPER PLATE T.P.O. FILLER, P.F. & 1 LTR."
4873,E-9117-8-4-35 (E-5088-177-1),BELLY BUTTON WELD DIE
4874,E-9217-8-4-35 (E-5088-177-1),BELLY BUTTON WELD DIE
4875,B-9317-1-90-26,BELOW ENCLOSURE COVER PLATE
4876,B-9417-1-90-26,BELOW ENCLOSURE COVER PLATE
4877,B-3298-3-1-6,BELT
4878,B-5293-1-1-1-7-2,BELT
4879,B-9117-7-2-12,BELT
4880,B-9117-7-2-61,BELT
4881,B-9217-7-2-12,BELT
4882,B-9217-7-2-61,BELT
4883,B-5364-1-6,BELT ACCUMULATING  CONVEYOR
4884,K-MD-5345-30-1-2,BELT ASSEMBLY
4885,K-MD-7919-2-1,BELT ASSEMBLY
4886,H-MD-11217-1,BELT CONVEYOR (A)
4887,H-MD-11517-1,BELT CONVEYOR (B)
4888,E-5126-2-3-18,BELT COVER
4889,B-MD-3490-12-4-9,"BELT COVER ASSEMBLY, RIGHT SIDE"
4890,B-MD-6193-12-4-9,"BELT COVER ASSEMBLY, RIGHT SIDE"
4891,K-MD-5293-1-1-1-7,BELT DRIVE ASSEMBLY
4892,B-5293-1-1-12,BELT DRIVE ASSEMBLY SUPPORT LEFT
4893,B-5293-1-1-13,BELT DRIVE ASSEMBLY SUPPORT RIGHT
4894,K-5214-1-1-93,BELT ENCODER PROD. INFEED BELT
4895,B-5286-8-146,BELT GUARD
4896,B-5286-8-151,BELT GUARD
4897,H-5286-8-150,BELT GUARD
4898,K-5286-8-145,BELT GUARD
4899,K-5286-8-147,BELT GUARD
4900,K-5286-8-148,BELT GUARD
4901,K-5286-8-149,BELT GUARD
4902,E-5286-15-71-7,BELT GUARD
4903,B-5358-92-29,BELT GUARD
4904,K-5286-8-152,BELT GUARD STRIPP-GENERIC  ADDV WASHER/FILLER
4905,B-5293-1-1-1-8-6,BELT GUIDE BRACKET
4906,B-5286-8-26,BELT GUIDE MOUNT
4907,B-5286-8-28,BELT GUIDE MOUNT
4908,B-5286-8-29,BELT GUIDE MOUNT
4909,B-5286-8-62,BELT GUIDE MOUNT
4910,B-5286-8-69,BELT GUIDE MOUNT ( DRIVE SIDE ) - LEFT HAND -
4911,B-5286-8-70,BELT GUIDE MOUNT ( DRIVE SIDE ) - RIGHT HAND -
4912,B-5286-8-56,BELT GUIDE MOUNT (DRIVE SIDE) -LEFT HAND
4913,B-5286-8-86,BELT GUIDE MT.
4914,B-7919-2-2-6,BELT GUIDE STOP LT
4915,B-7919-2-2-5,BELT GUIDE STOP RT
4916,B-5358-16-24,BELT IDLER AXLE
4917,A-11617-7,BELT INSTALL TOOL
4918,B-1-15814,BELT PULLEY
4919,B-1-15815,BELT PULLEY
4920,B-2-15814,BELT PULLEY
4921,B-2-15815,BELT PULLEY
4922,B-15814,BELT PULLEY
4923,B-15815,BELT PULLY
4924,H-MD-5286-18-7,BELT SHEILD ASSEMBLY
4925,B-5345-30-1-6-14,BELT SPACER
4926,B-5366-1-14,BELT SUPPORT BRACKET
4927,E-5286-8-136,BELT SUPPORT GUIDE
4928,E-5286-8-136$1,BELT SUPPORT GUIDE
4929,E-5286-8-136$2,BELT SUPPORT GUIDE
4930,E-5286-8-136$3,BELT SUPPORT GUIDE
4931,E-5286-8-136$4,BELT SUPPORT GUIDE
4932,E-5286-8-136$5,BELT SUPPORT GUIDE
4933,E-5286-8-136$6,BELT SUPPORT GUIDE
4934,E-5286-8-21,BELT SUPPORT HOUSING
4935,E-5286-8-4,BELT SUPPORT HOUSING
4936,E-5286-8-59,BELT SUPPORT HOUSING
4937,E-5286-8-60,BELT SUPPORT HOUSING
4938,B-3490-12-4-2-5,BELT SUPPORT PLATE
4939,B-6193-12-4-2-5,BELT SUPPORT PLATE
4940,E-5286-8-10,BELT SUPPORT TRACK
4941,E-5286-8-31,BELT SUPPORT TRACK
4942,H-5286-8-9,BELT SUPPORT TRACK   IDLER SIDE
4943,H-5286-8-8,BELT SUPPORT TRACK -- DRIVE SIDE
4944,E-MD-5347-1,BELT TAKE - UP ASSEMBLY
4945,E-MD-5347-2-10,BELT TAKE-UP ASSEMBLY
4946,E-5286-1$11,BELT TAKE-UP UNIT ASSEMBLY
4947,B-5347-18-102,BELT TENSIONER MTG.BRACKET
4948,B-5206-29-157,BELT TENSIONING ROLLER TUBE
4949,B-5088-9-60,BELT TENSIONING ROLLER TUBE
4950,E-MD-9117-7-3 (9117-06-03-00),BELT TENSIONING STATION
4951,E-MD-9217-7-3 (9217-06-03-00),BELT TENSIONING STATION
4952,D-1069733,BELT TRAY CONVEYOR
4953,D-1066818,BELT TRAY CONVEYOR A
4954,D-1069723,BELT TRAY CONVEYOR B
4955,H-5286-8-20,"BELT, STEEL, 2.4 SPACING X2 ""WIDE"""
4956,B-9317-5-90-2-1,BENT RAIL
4957,B-9317-5-90-2-4,BENT RAIL
4958,B-9317-5-90-4-1,BENT RAIL
4959,B-9317-5-90-4-4,BENT RAIL
4960,B-9417-5-90-2-1,BENT RAIL
4961,B-9417-5-90-2-4,BENT RAIL
4962,B-9417-5-90-4-1,BENT RAIL
4963,B-9417-5-90-4-4,BENT RAIL
4964,E-2297-1,BENT ROD IRRIGATION STACKER
4965,B-5286-15-72-5,BERG 15 TOOTH GEAR
4966,B-5286-15-72-6,BERG 60 TOOTH GEAR
4967,E-12097,BEUESTIGINGSBALK
4968,B-1-15278,BEV. PLAAT
4969,B-1-15279,BEV. PLAAT
4970,A-1-12139,BEV. STRIP
4971,A-1-15294,BEV. STRIP
4972,E-1-15734,BEVESTIGINGSBALK BOVEN (FASTENING BEAM ABOVE)
4973,E-1-15098,BEVESTIGINGSBALK BOVEN (MOUNTING BEAM ABOVE)
4974,E-1-15735,BEVESTIGINGSBALK ONDER (FASTENING BEAM UNDER)
4975,E-1-15097,BEVESTIGINGSBALK ONDER (MOUNTING BEAM UNDERNEATH)
4976,E-15097,BEVESTIGINGSBALK ONDER (MOUNTING BEAM UNDERNEATH)
4977,K-MD-BF9-54$9,BGMAKER #9 MAIN ELECTRICAL SCHEMATIC
4978,E-9117-2-36 (9117-01-01-38),BIG BUTTON GUARD
4979,E-9217-2-36 (9217-01-01-38),BIG BUTTON GUARD
4980,D-038298,BILL OF MATERIAL
4981,D-038299,BILL OF MATERIAL
4982,D-2132-02,BILL OF MATERIAL
4983,D-2243-12,BILL OF MATERIAL
4984,D-2242-12,BILL OF MATERIAL
4985,E-MD-5088-23$1,BILL OF MATERIAL 4KW GENERATORS SOLIDYNE
4986,E-MD-5088-23$2,BILL OF MATERIAL 4KW GENERATORS SOLIDYNE
4987,E-1761$3,BILL OF MATERIAL-- FRAME & REMAOTE ARM
4988,H-86E-0786$17,BILL OF MATERIAL STACKER/DESTACKER #7 MCP-SD7 (MCP-G)
4989,K-MD-5286-99-2,BILL OF MATERIALS
4990,K-MD-5286-99-3,BILL OF MATERIALS (CONT.)
4991,E-1761$2,BILL OF MATERIALS-- CAROUSEL & CHUTE
4992,E-1761$4,BILL OF MATERIALS-- MAG & VAC
4993,E-1761$1,BILL OF MATERIALS--COMMERCIAL /NON-STD /STD PARTS
4994,E-12197-4-71,BIN ADJUSTMENT ADJUSTMENT MAGAZINE ASM.
4995,E-MD-9317-7-60,BIN ASSEM
4996,E-MD-9417-7-60,BIN ASSEM
4997,K-2107-1-4-1,BIN CARRIAGE PLATE (T100)
4998,K-10106-1-4-1,BIN CARRIAGE PLATE (T100)
4999,K-2307-1-4-1,BIN CARRIAGE PLATE (T100)
5000,E-2107-1-3-5,BIN CENTER FENCE
5001,E-2207-1-3-5,BIN CENTER FENCE
5002,E-10106-1-3-5,BIN CENTER FENCE
5003,E-2307-1-3-5,BIN CENTER FENCE
5004,B-2107-1-3-10,BIN CENTER FENCE SUPPORT PLATE
5005,B-2207-1-3-10,BIN CENTER FENCE SUPPORT PLATE
5006,B-2307-1-3-10,BIN CENTER FENCE SUPPORT PLATE
5007,B-10106-1-3-10,BIN CETER FENCE SUPPORT PLATE
5008,K-MD-2107-1,"BIN FEED  AND PICK-UP ASSEMBLY, MFG 1 STATION 1, OVR BAY 3"
5009,K-MD-10106-1,"BIN FEED & PICK UP ASSEMBLY, MFG 3 STATION 1, OVR BAY 3"
5010,K-MD-2207-1,"BIN FEED AND PICK UP STATION ASSEMBLY, MFG 2 STATION 1 BAY 3"
5011,K-MD-2307-1,"BIN FFED & PICK UP ASSEMBLY, MFG 4 STATION 1, OVR BAY 3"
5012,H-2107-1-3-2,BIN FRONT FENCE
5013,H-2207-1-3-2,BIN FRONT FENCE
5014,H-10106-1-3-2,BIN FRONT FENCE
5015,H-2307-1-3-2,BIN FRONT FENCE
5016,E-2207-1-3-7,BIN LIFT CYLINDER MOUNTING PLATE
5017,E-10106-1-3-7,BIN LIFT CYLINDER MOUNTING PLATE
5018,E-2307-1-3-7,BIN LIFT CYLINDER MOUNTING PLATE
5019,E-2107-1-3-7,"BIN LIFT CYLINDER, MOUNTING PLATE"
5020,B-2107-1-3-11,BIN LIFT PLATE SPACER
5021,B-2207-1-3-11,BIN LIFT PLATE SPACER
5022,B-10106-1-3-11,BIN LIFT PLATE SPACER
5023,B-2307-1-3-11,BIN LIFT PLATE SPACER
5024,H-2107-1-3-4,"BIN LIFT PLATE, LEFT"
5025,H-2207-1-3-4,"BIN LIFT PLATE, LEFT"
5026,H-10106-1-3-4,"BIN LIFT PLATE, LEFT"
5027,H-2307-1-3-4,"BIN LIFT PLATE, LEFT"
5028,H-2107-1-3-3,"BIN LIFT PLATE, RIGHT"
5029,H-2207-1-3-3,"BIN LIFT PLATE, RIGHT"
5030,H-10106-1-3-3,"BIN LIFT PLATE, RIGHT"
5031,H-2307-1-3-3,"BIN LIFT PLATE, RIGHT"
5032,E-2107-1-3-4,BIN SIDE FENCE (ADJUSTABLE)
5033,E-2107-1-3-6,BIN SIDE FENCE (ADJUSTABLE)
5034,E-2207-1-3-6,BIN SIDE FENCE (ADJUSTABLE)
5035,E-10106-1-3-6,BIN SIDE FENCE (ADJUSTABLE)
5036,E-2307-1-3-6,BIN SIDE FENCE (ADJUSTABLE)
5037,E-2107-1-4-13,BIN SIDE FENCE SPACER BLOCK
5038,E-10106-1-4-13,BIN SIDE FENCE SPACER BLOCK
5039,E-2307-1-4-13,BIN SIDE FENCE SPACER BLOCK
5040,E-2207-1-4-13,"BIN SIDE FENCE, SPACER BLOCK"
5041,K-5337-6-7,BIN SUPPORT WELDMENT
5042,B-12197-4-72,BIN WIDTH ADJ. SHAFT MOUNT
5043,E-5345-30-1-5-14,BINDING ANGLE
5044,B-7919-2-12-11,BINDING ANGLE
5045,D-6001830$1,BLACK & WHITE INSPECTION W/LIGHTED BOX ACTUATOR ASSEMBLY
5046,D-6001830$2,BLACK & WHITE INSPECTION W/LIGHTED BOX ACTUATOR ASSEMBLY
5047,B-11206-31-2,BLADDER CHANNEL
5048,B-5335-16-5-1,BLADDER CYLINDER
5049,B-11206-31-3,BLADDER DEFLATED
5050,B-3298-1-1-8,BLADE
5051,B-8298-1-18,BLADE
5052,B-10298-1-5-4,BLADE   (USED ON #7 ALSO #128527)
5053,E-MD-8499-3-5-1,BLADE ASSEMBLY
5054,E-MD-9199-3-5-1,BLADE ASSEMBLY
5056,E-8499-3-5-1-1,BLADE BASE
5057,E-9117-12-2-12 (9117-12-02-15),BLADE BRACKET
5058,H-9117-15-4-3 (9117-15-04-03),BLADE BRACKET
5059,E-9217-12-2-12 (9217-12-02-15),BLADE BRACKET
5060,H-9217-15-4-3 (9217-15-04-03),BLADE BRACKET
5061,B-5119-3-8,BLADE BRACKET
5062,B-5206-75-25,"BLADE CLAMP, KNIFE"
5063,B-11206-26-2,BLADE CLIP
5064,E-3298-1-1-4,BLADE CYLINDER SUPPORT
5065,E-8298-1-17,BLADE CYLINDER SUPPORT
5066,E-10298-1-5-1,BLADE CYLINDER SUPPORT
5067,E-8499-3-5-6,BLADE CYLINDER SUPPORT PLATE
5068,K-9199-3-5-1-1,BLADE CYLINDER SUPPORT PLATE
5069,E-3298-1-1-5,BLADE HOLDER
5070,E-8298-1-19,BLADE HOLDER
5071,E-10298-1-5-2,BLADE HOLDER
5072,B-5293-1-1-6-2-10,BLADE HOLDER
5073,E-9117-12-2-13 (9117-12-02-16),BLADE HOLDER
5074,E-9217-12-2-13 (9217-12-02-16),BLADE HOLDER
5075,B-11206-26-8,BLADE HOLDER
5076,B-5206-75-23,BLADE HOLDER KNIFE BAGMAKER
5077,E-9117-15-4-2 (9117-15-04-02),BLADE MOUNT
5078,E-9217-15-4-2 (9217-15-04-02),BLADE MOUNT
5079,B-5293-1-1-6-2-11,BLADE SPACER
5080,B-9199-3-5-3,BLADE X SENSOR BAR
5081,E-8499-3-5-1-2,"BLADE X"""""
5082,B-9199-3-5-4,BLADE Y SENSOR BAR
5083,E-8499-3-5-1-3,"BLADE Y"""""
5084,B-12298-1-1-4,"BLADE, BAG SLITTER"
5085,B-1-15181,BLADVEER
5086,B-ICU01-M0104,BLANK
5087,B-5347-4-43-11,BLANK NOZZLE
5088,K-AU-6-A108,BLDG. STRUCTURAL STEEL DETAILS            BAG FAB BLDG.
5089,K-AU-4-A1,BLDGS. & GROUNDS AUXILIARY BLDG. #4
5090,E-4983,BLENDER HOPPER ACCESS WINDOW
5091,K-AU-1-A115,BLENDER MEZZANINE FRAMING PLAN & DETAILS
5092,E-MD-8208-2$1,BLISS CASE SEALER ASSEMBLY
5093,E-MD-8208-2$2,BLISS CASE SEALER ASSEMBLY
5094,B-12197-7-36,"BLK, MTG ASSY VACUUM LINE"
5095,B-12197-7-33,"BLK, MTG. ASSY VACUUM LINE"
5096,B-12197-7-35,"BLK, MTG. GUSSET VACUUM LINE"
5097,B-5335-50-141,BLOCK
5098,E-9117-9-1-47 (9117-08-01-47),BLOCK
5099,E-9217-9-1-47 (9217-08-01-47),BLOCK
5100,A-1-16731,BLOCK
5101,A-1-16790,BLOCK
5102,B-1-18643,BLOCK
5103,B-3490-14-42,BLOCK
5104,B-3490-4-92,BLOCK
5105,A-2-18786,BLOCK
5106,B-2-18643,BLOCK
5107,B-2-18781,BLOCK
5108,B-2-20037,BLOCK
5109,B-2-20044,BLOCK
5110,B-6193-4-39,BLOCK
5111,A-18786,BLOCK
5112,B-18643,BLOCK
5113,B-9317-5-10-16,BLOCK
5114,B-9417-5-10-16,BLOCK
5115,B-5398-15-1,BLOCK
5116,B-5286-18-7-2,BLOCK
5117,B-5335-50-142,BLOCK (ADDITIONAL)
5118,E-9117-9-1-48 (9117-08-01-48),BLOCK 2
5119,E-9217-9-1-48 (9217-08-01-48),BLOCK 2
5120,B-5109-15-1-10,BLOCK ALIGNMENT PLATE
5121,E-5088-326-5,BLOCK BAR ABM302000 STA2 ONLY
5122,E-5358-1-32,BLOCK CHAIN TAKE-UP
5123,C-2964-AW$12,BLOCK DIA - EXTRUDER CNTL PNL FLAT CABNET (SHT 12 OF 12) *
5124,C-2964-AW$11,BLOCK DIA - TEMP/PWR CABINET              (SHT 11 OF 12) *
5125,B-5347-4-43-6-1,BLOCK INDUCTIVE SESNOR MOUNTING
5126,B-5358-1-111,BLOCK MICROSWITCH
5127,B-5358-50-1,BLOCK MICROSWITCH
5128,B-5052-6-15,BLOCK MOUNT
5129,B-1388-16,BLOCK MTG. BRACKET (5PSI TESTER)
5130,B-20037,BLOCK STAT.#3
5131,B-18781,BLOCK STAT.#4
5132,B-20044,BLOCK STAT.#5
5133,H-5686-28-1,"BLOCK, 50ML, 100ML,150ML  INSERT"
5134,B-03187B1499,"BLOCK, FORMING"
5135,B-5337-7-62,"BLOCK, GROUNDING"
5136,E-5286-4-8-13,"BLOCK, INDUCTIVE SENSOR MOUNTING"
5137,B-5365-9-6-1,"BLOCK, LEFT HAND"
5138,E-12197-7-29,"BLOCK, MANIFOLD SINGLE VACUUM SWITCH"
